"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,56,"CRI","Costa Rica",1,"Alajuela",1,"Alajuela","CR.AL.AL",NA,"","Canton","Canton","",""
2,56,"CRI","Costa Rica",1,"Alajuela",2,"Alfaro Ruiz","CR.AL.AR",NA,"","Canton","Canton","",""
3,56,"CRI","Costa Rica",1,"Alajuela",3,"Atenas","CR.AL.AT",NA,"","Canton","Canton","",""
4,56,"CRI","Costa Rica",1,"Alajuela",4,"Grecia","CR.AL.GR",NA,"","Canton","Canton","",""
5,56,"CRI","Costa Rica",1,"Alajuela",5,"Guatuso","CR.AL.GU",NA,"","Canton","Canton","",""
6,56,"CRI","Costa Rica",1,"Alajuela",6,"Los Chiles","CR.AL.LC",NA,"","Canton","Canton","",""
7,56,"CRI","Costa Rica",1,"Alajuela",7,"Naranjo","CR.AL.NA",NA,"","Canton","Canton","",""
8,56,"CRI","Costa Rica",1,"Alajuela",8,"Orotina","CR.AL.OR",NA,"","Canton","Canton","",""
9,56,"CRI","Costa Rica",1,"Alajuela",9,"Palmares","CR.AL.PA",NA,"","Canton","Canton","",""
10,56,"CRI","Costa Rica",1,"Alajuela",10,"Poás","CR.AL.PO",NA,"","Canton","Canton","",""
11,56,"CRI","Costa Rica",1,"Alajuela",11,"San Carlos","CR.AL.SC",NA,"","Canton","Canton","",""
12,56,"CRI","Costa Rica",1,"Alajuela",12,"San Mateo","CR.AL.SM",NA,"","Canton","Canton","",""
13,56,"CRI","Costa Rica",1,"Alajuela",13,"San Ramón","CR.AL.SR",NA,"","Canton","Canton","",""
14,56,"CRI","Costa Rica",1,"Alajuela",14,"Upala","CR.AL.UP",NA,"","Canton","Canton","",""
15,56,"CRI","Costa Rica",1,"Alajuela",15,"Valverde Vega","CR.AL.VV",NA,"","Canton","Canton","",""
16,56,"CRI","Costa Rica",2,"Cartago",16,"Alvarado","CR.CA.AL",NA,"","Canton","Canton","",""
17,56,"CRI","Costa Rica",2,"Cartago",17,"Cartago","CR.CA.CA",NA,"","Canton","Canton","",""
18,56,"CRI","Costa Rica",2,"Cartago",18,"El Guarco","CR.CA.EG",NA,"","Canton","Canton","",""
19,56,"CRI","Costa Rica",2,"Cartago",19,"Jiménez","CR.CA.JI",NA,"","Canton","Canton","",""
20,56,"CRI","Costa Rica",2,"Cartago",20,"La Unión","CR.CA.LU",NA,"","Canton","Canton","",""
21,56,"CRI","Costa Rica",2,"Cartago",21,"Oreamuno","CR.CA.OR",NA,"","Canton","Canton","",""
22,56,"CRI","Costa Rica",2,"Cartago",22,"Paraíso","CR.CA.PA",NA,"","Canton","Canton","",""
23,56,"CRI","Costa Rica",2,"Cartago",23,"Turrialba","CR.CA.TU",NA,"","Canton","Canton","",""
24,56,"CRI","Costa Rica",3,"Guanacaste",24,"Abangares","CR.GU.AB",NA,"","Canton","Canton","",""
25,56,"CRI","Costa Rica",3,"Guanacaste",25,"Bagaces","CR.GU.BA",NA,"","Canton","Canton","",""
26,56,"CRI","Costa Rica",3,"Guanacaste",26,"Cañas","CR.GU.CN",NA,"","Canton","Canton","",""
27,56,"CRI","Costa Rica",3,"Guanacaste",27,"Carrillo","CR.GU.CR",NA,"","Canton","Canton","",""
28,56,"CRI","Costa Rica",3,"Guanacaste",28,"Hojancha","CR.GU.HO",NA,"","Canton","Canton","",""
29,56,"CRI","Costa Rica",3,"Guanacaste",29,"La Cruz","CR.GU.LC",NA,"","Canton","Canton","",""
30,56,"CRI","Costa Rica",3,"Guanacaste",30,"Liberia","CR.GU.LI",NA,"","Canton","Canton","",""
31,56,"CRI","Costa Rica",3,"Guanacaste",31,"Nandayure","CR.GU.NA",NA,"","Canton","Canton","",""
